選舉,捐贈對象,捐贈日期,捐贈金額
109政黨,時代力量,1090211,20000.00
109政黨,時代力量,1090211,66000.00
109政黨,時代力量,1090213,30000.00
109政黨,時代力量,1090305,70000.00
109政黨,時代力量,1090629,70000.00
109政黨,時代力量,1090804,15000.00
109政黨,時代力量,1090804,15000.00
110政黨,時代力量,1101012,180000.00
110政黨,時代力量,1101013,120000.00
111政黨,時代力量,1110629,100000.00
111政黨,時代力量,1110704,100000.00
111政黨,時代力量,1110712,100000.00
111政黨,時代力量,1110906,40000.00
112政黨,時代力量,1120407,100000.00
112政黨,時代力量,1120426,50000.00
112政黨,時代力量,1120508,76000.00
112政黨,時代力量,1120607,10000.00
112政黨,時代力量,1121121,50000.00
