選舉,捐贈對象,捐贈日期,捐贈金額
108政黨,中國國民黨,1080215,200000.00
108政黨,中國國民黨,1080215,200000.00
108政黨,中國國民黨,1080301,200000.00
108政黨,中國國民黨,1080901,200000.00
108政黨,中國國民黨,1081001,200000.00
108政黨,中國國民黨,1081101,300000.00
108政黨,中國國民黨,1081101,200000.00
108政黨,中國國民黨,1081201,300000.00
108政黨,中國國民黨,1081201,200000.00
109政黨,中國國民黨,1090101,200000.00
109政黨,中國國民黨,1090201,200000.00
109政黨,中國國民黨,1090301,200000.00
109政黨,中國國民黨,1090401,200000.00
109政黨,中國國民黨,1090501,200000.00
111政黨,中國國民黨,1110916,200000.00
111政黨,中國國民黨,1110930,200000.00
111政黨,中國國民黨,1111024,200000.00
111政黨,中國國民黨,1111031,200000.00
112政黨,中國國民黨,1120502,200000.00
112政黨,中國國民黨,1120525,200000.00
112政黨,中國國民黨,1120626,200000.00
112政黨,中國國民黨,1120725,200000.00
112政黨,中國國民黨,1120825,200000.00
112政黨,中國國民黨,1120829,300000.00
112政黨,中國國民黨,1120925,200000.00
112政黨,中國國民黨,1120926,300000.00
112政黨,中國國民黨,1121025,200000.00
112政黨,中國國民黨,1121026,300000.00
112政黨,中國國民黨,1121127,300000.00
112政黨,中國國民黨,1121127,200000.00
112政黨,中國國民黨,1121225,200000.00
